content_id,title,description,type,release_date,duration_minutes,maturity_rating,genres,poster_url,trailer_url,avg_rating,total_views,popularity_score,country_of_origin,original_language,is_active,created_at
1,Re-engineered multi-state Graphic Interface,Under team security at. Officer report red pull save same. Already debate anything view. Despite capital response marriage.,movie,2005-11-18,132,7+,Romance,https://cdn.example.com/posters/1.jpg,https://cdn.example.com/trailers/1.mp4,9.26,7877714,39.71,CZ,en,true,2023-01-25 14:07:15
2,Ameliorated zero tolerance Local Area Network,Leave send through himself red upon. Now sound gun art. Expert several effort prevent kid issue woman range. Show response nothing gas few page cold couple. History its street because.,series,1995-06-03,,18+,Horror,https://cdn.example.com/posters/2.jpg,https://cdn.example.com/trailers/2.mp4,5.18,2616857,39.64,PL,fr,true,2023-04-27 23:39:36
3,Expanded heuristic instruction set,Talk off body at strong clear decide. Together test age chance officer single role. See professional begin current everyone test memory arm.,movie,2015-02-17,121,ALL,"Fantasy,Adventure",https://cdn.example.com/posters/3.jpg,https://cdn.example.com/trailers/3.mp4,3.23,4333162,77.94,US,en,true,2020-10-14 01:46:22
4,Universal solution-oriented artificial intelligence,Finansowy tamten podnosić. Sierpień muzyka iść ponad nie ma pociąg. Urodzić inny Szwecja. Wieża podstawa zgodnie marka bogactwo rola półwysep styczeń. Słoń energia odczuwać biec przyczyna.,series,1999-09-21,,7+,Drama,https://cdn.example.com/posters/4.jpg,,6.4,4899666,25.38,PL,en,true,2024-06-10 13:57:38
5,Business-focused stable knowledgebase,Zwierzę ryż fala. Bądź wzrok nie- klasa samica. Ośrodek bar oni o.,series,2020-09-28,,7+,Adventure,https://cdn.example.com/posters/5.jpg,,4.2,5662978,21.11,DE,es,true,2025-05-19 12:31:10
6,Configurable tangible analyzer,Sport imagine section measure play. White tree seek should computer lawyer easy need. A avoid choice media. Cut difficult participant between.,movie,2025-10-30,137,ALL,"Comedy,Animation,Action",https://cdn.example.com/posters/6.jpg,https://cdn.example.com/trailers/6.mp4,5.18,1754013,82.77,PL,en,true,2023-05-09 12:41:54
7,Balanced asynchronous encryption,Human control personal. Happy receive third professional test. Herself people rate notice air by. Tonight compare second system environmental. Various hotel order cultural. Step particularly control east weight raise.,series,2015-03-13,,13+,Action,https://cdn.example.com/posters/7.jpg,,7.59,2927972,40.13,PL,de,true,2021-05-17 06:16:57
8,Reverse-engineered zero-defect orchestration,Fly maintain quite station difference create physical build. Station avoid strategy trial out close current. Old especially also stuff decision film.,movie,2006-05-23,173,ALL,"Adventure,Sci-Fi",https://cdn.example.com/posters/8.jpg,https://cdn.example.com/trailers/8.mp4,3.71,9540916,7.27,PL,en,true,2020-07-08 11:21:24
9,Fully-configurable didactic neural-net,American ground remember magazine manage suffer term. Glass data exist strong. State none production defense your above short.,movie,1993-06-23,162,13+,"Sci-Fi,Action",https://cdn.example.com/posters/9.jpg,https://cdn.example.com/trailers/9.mp4,5.9,6307918,59.24,PL,en,true,2022-02-22 20:04:05
10,Front-line content-based task-force,Nosić korzyść interes dusza. Wziąć rasa restauracja być metoda obcy władca promień. Zainteresowanie śnieg ani Warszawa wzrost. Naprawdę ciało trzy.,series,1990-01-09,,7+,Sci-Fi,https://cdn.example.com/posters/10.jpg,https://cdn.example.com/trailers/10.mp4,0.0,250230,7.11,IT,en,true,2023-12-20 15:16:39
