content_id,person_id,role,character_name,billing_order
1,1239,director,,
1,1013,writer,,
1,422,actor,Kimberly Zadora,1
1,874,actor,Radosław Gibson,2
1,975,actor,Maks Bell,3
1,986,actor,Danielle Jonik,4
1,572,actor,Maria Nojek,5
1,607,actor,Samuel Reese,6
1,1005,actor,Lynn Jimenez,7
1,385,actor,Arthur Wakuła,8
1,347,actor,Oliwier Mckinney,9
1,1961,actor,Sandra Parrish,10
1,594,actor,Courtney Singleton,11
3,824,director,,
3,534,writer,,
3,1884,actor,Elżbieta Teodorowicz,1
3,1498,actor,Rebecca Lopez,2
3,357,actor,Błażej Brown,3
3,1843,actor,Christopher Jędraszczyk,4
6,1200,director,,
6,557,writer,,
6,635,writer,,
6,1324,actor,Chad Majerczyk,1
6,1937,actor,Jessica Niksa,2
6,1149,actor,Lindsey Danel,3
6,386,actor,Todd Robinson,4
6,1194,actor,Wojciech Kasiak,5
8,636,director,,
8,1198,writer,,
8,1984,actor,Alyssa Stanisławek,1
8,660,actor,Konstanty Lopez,2
8,1925,actor,Albert Davis,3
8,1987,actor,Daniel Wong,4
8,1482,actor,Apolonia Golan,5
8,1455,actor,Sylwia Sampson,6
8,556,actor,Roksana Garcia,7
8,962,actor,Cindy Bryan,8
9,1149,director,,
9,553,writer,,
9,503,actor,Olgierd Zaguła,1
9,1268,actor,Erica Huszcza,2
9,1300,actor,Thomas Nikel,3
9,1230,actor,Witold Garczyk,4
9,971,actor,Nicole French,5
12,1278,director,,
12,1183,writer,,
12,1129,actor,Shane Bell,1
12,984,actor,Shawn Anderson,2
12,1437,actor,Karol Johnson,3
12,698,actor,Evan French,4
13,240,director,,
13,1051,writer,,
13,376,writer,,
13,855,actor,Marcin Dywan,1
13,1692,actor,Tomasz Pakosz,2
13,606,actor,Nataniel Cebulak,3
13,1399,actor,Hubert Roberts,4
13,1874,actor,Samuel Reese,5
13,1816,actor,Steven Zadora,6
13,1579,actor,Aleks Bejnarowicz,7
14,37,director,,
14,220,writer,,
14,1539,writer,,
14,1233,actor,Colin Jimenez,1
14,440,actor,Bianka Trepczyk,2
14,1106,actor,Sarah Lopez,3
14,1626,actor,Kalina Cebulak,4
14,544,actor,Rafał Futyma,5
14,1005,actor,Marcel Wilson,6
14,489,actor,Joseph Miller,7
14,1047,actor,Justyna Gilbert,8
14,150,actor,Dorota Jas,9
19,281,director,,
19,133,writer,,
19,819,writer,,
