subscription_id,user_id,plan_name,price_monthly,max_streams,max_resolution,max_profiles,status,start_date,end_date,auto_renew,created_at
1,1,Basic,29.99,1,720p,2,active,2023-08-06,,true,2023-08-06 00:00:00
2,2,Standard,43.99,2,1080p,5,expired,2024-09-27,2025-05-12,false,2024-09-27 00:00:00
3,2,Standard,43.99,2,1080p,5,active,2023-09-08,,true,2023-09-08 00:00:00
4,3,Standard,43.99,2,1080p,5,active,2024-07-17,,true,2024-07-17 00:00:00
5,4,Standard,43.99,2,1080p,5,active,2020-01-23,,true,2020-01-23 00:00:00
6,5,Premium,59.99,4,4K,5,expired,2021-07-22,2022-02-23,false,2021-07-22 00:00:00
7,5,Standard,43.99,2,1080p,5,active,2020-10-14,,true,2020-10-14 00:00:00
8,6,Basic,29.99,1,720p,2,cancelled,2023-11-06,2024-01-16,true,2023-11-06 00:00:00
9,6,Standard,43.99,2,1080p,5,active,2021-04-18,,true,2021-04-18 00:00:00
10,7,Standard,43.99,2,1080p,5,cancelled,2022-04-08,2022-11-06,true,2022-04-08 00:00:00
11,7,Standard,43.99,2,1080p,5,active,2021-12-08,,true,2021-12-08 00:00:00
12,8,Basic,29.99,1,720p,2,active,2021-11-12,,true,2021-11-12 00:00:00
13,9,Standard,43.99,2,1080p,5,expired,2022-05-21,2023-03-02,true,2022-05-21 00:00:00
14,9,Standard,43.99,2,1080p,5,active,2021-10-16,,true,2021-10-16 00:00:00
15,10,Standard,43.99,2,1080p,5,active,2024-04-27,,true,2024-04-27 00:00:00
16,11,Premium,59.99,4,4K,5,expired,2020-12-03,2021-05-24,false,2020-12-03 00:00:00
17,11,Standard,43.99,2,1080p,5,cancelled,2024-01-07,2024-12-04,false,2024-01-07 00:00:00
18,11,Premium,59.99,4,4K,5,active,2022-07-31,,true,2022-07-31 00:00:00
19,12,Premium,59.99,4,4K,5,expired,2020-01-15,2020-10-24,false,2020-01-15 00:00:00
20,12,Standard,43.99,2,1080p,5,active,2021-02-14,,true,2021-02-14 00:00:00
21,13,Premium,59.99,4,4K,5,expired,2021-02-04,2021-09-22,false,2021-02-04 00:00:00
22,13,Standard,43.99,2,1080p,5,active,2020-10-17,,true,2020-10-17 00:00:00
23,14,Basic,29.99,1,720p,2,active,2023-06-22,,true,2023-06-22 00:00:00
24,15,Basic,29.99,1,720p,2,expired,2024-02-26,2024-04-08,false,2024-02-26 00:00:00
25,15,Premium,59.99,4,4K,5,cancelled,2022-04-17,2023-03-23,false,2022-04-17 00:00:00
26,15,Basic,29.99,1,720p,2,active,2024-05-15,,true,2024-05-15 00:00:00
27,16,Basic,29.99,1,720p,2,active,2022-03-05,,true,2022-03-05 00:00:00
28,17,Standard,43.99,2,1080p,5,active,2024-05-19,,true,2024-05-19 00:00:00
29,18,Premium,59.99,4,4K,5,active,2022-09-17,,true,2022-09-17 00:00:00
30,19,Standard,43.99,2,1080p,5,expired,2021-04-04,2021-12-20,false,2021-04-04 00:00:00
31,19,Premium,59.99,4,4K,5,active,2024-04-27,,true,2024-04-27 00:00:00
32,20,Basic,29.99,1,720p,2,active,2025-05-20,,true,2025-05-20 00:00:00
33,21,Basic,29.99,1,720p,2,cancelled,2021-04-01,2021-12-29,true,2021-04-01 00:00:00
34,21,Basic,29.99,1,720p,2,active,2024-11-18,,true,2024-11-18 00:00:00
35,22,Standard,43.99,2,1080p,5,cancelled,2024-08-24,2025-06-20,false,2024-08-24 00:00:00
36,22,Basic,29.99,1,720p,2,active,2022-04-15,,true,2022-04-15 00:00:00
37,23,Standard,43.99,2,1080p,5,active,2022-10-24,,true,2022-10-24 00:00:00
38,24,Premium,59.99,4,4K,5,active,2024-05-13,,true,2024-05-13 00:00:00
39,25,Standard,43.99,2,1080p,5,cancelled,2022-05-17,2023-01-28,true,2022-05-17 00:00:00
40,25,Standard,43.99,2,1080p,5,expired,2021-11-19,2022-07-18,true,2021-11-19 00:00:00
41,25,Standard,43.99,2,1080p,5,active,2022-09-11,,true,2022-09-11 00:00:00
42,26,Premium,59.99,4,4K,5,active,2023-03-01,,true,2023-03-01 00:00:00
43,27,Premium,59.99,4,4K,5,active,2024-02-14,,true,2024-02-14 00:00:00
44,28,Premium,59.99,4,4K,5,expired,2020-07-24,2020-08-24,false,2020-07-24 00:00:00
45,28,Standard,43.99,2,1080p,5,expired,2022-09-12,2022-12-17,false,2022-09-12 00:00:00
46,28,Basic,29.99,1,720p,2,active,2020-03-21,,true,2020-03-21 00:00:00
47,29,Standard,43.99,2,1080p,5,active,2024-07-02,,true,2024-07-02 00:00:00
48,30,Standard,43.99,2,1080p,5,cancelled,2020-02-22,2021-02-07,false,2020-02-22 00:00:00
49,30,Standard,43.99,2,1080p,5,active,2021-10-28,,true,2021-10-28 00:00:00
50,31,Basic,29.99,1,720p,2,active,2021-12-02,,true,2021-12-02 00:00:00
51,32,Basic,29.99,1,720p,2,active,2022-01-06,,true,2022-01-06 00:00:00
52,33,Standard,43.99,2,1080p,5,cancelled,2022-12-14,2023-01-23,true,2022-12-14 00:00:00
53,33,Premium,59.99,4,4K,5,active,2020-02-03,,true,2020-02-03 00:00:00
54,34,Basic,29.99,1,720p,2,cancelled,2024-06-04,2025-02-28,false,2024-06-04 00:00:00
55,34,Premium,59.99,4,4K,5,active,2021-09-12,,true,2021-09-12 00:00:00
56,35,Basic,29.99,1,720p,2,active,2022-02-15,,true,2022-02-15 00:00:00
57,36,Standard,43.99,2,1080p,5,active,2022-05-26,,true,2022-05-26 00:00:00
58,37,Premium,59.99,4,4K,5,cancelled,2021-12-04,2022-11-24,false,2021-12-04 00:00:00
59,37,Standard,43.99,2,1080p,5,active,2022-06-13,,true,2022-06-13 00:00:00
60,38,Standard,43.99,2,1080p,5,active,2020-02-04,,true,2020-02-04 00:00:00
61,39,Standard,43.99,2,1080p,5,expired,2020-04-02,2020-05-23,true,2020-04-02 00:00:00
62,39,Premium,59.99,4,4K,5,active,2021-11-18,,true,2021-11-18 00:00:00
63,40,Basic,29.99,1,720p,2,active,2023-08-05,,true,2023-08-05 00:00:00
64,41,Basic,29.99,1,720p,2,active,2023-07-06,,true,2023-07-06 00:00:00
65,42,Standard,43.99,2,1080p,5,active,2024-12-31,,true,2024-12-31 00:00:00
66,43,Standard,43.99,2,1080p,5,active,2025-03-13,,true,2025-03-13 00:00:00
67,44,Standard,43.99,2,1080p,5,expired,2023-07-01,2023-12-01,false,2023-07-01 00:00:00
68,44,Standard,43.99,2,1080p,5,active,2024-02-22,,true,2024-02-22 00:00:00
69,45,Premium,59.99,4,4K,5,cancelled,2025-02-27,2025-07-22,false,2025-02-27 00:00:00
70,45,Standard,43.99,2,1080p,5,active,2023-02-25,,true,2023-02-25 00:00:00
71,46,Basic,29.99,1,720p,2,active,2020-10-13,,true,2020-10-13 00:00:00
72,47,Standard,43.99,2,1080p,5,expired,2024-04-28,2025-02-13,false,2024-04-28 00:00:00
73,47,Basic,29.99,1,720p,2,active,2020-03-19,,true,2020-03-19 00:00:00
74,48,Basic,29.99,1,720p,2,active,2021-12-16,,true,2021-12-16 00:00:00
75,49,Premium,59.99,4,4K,5,active,2021-08-30,,true,2021-08-30 00:00:00
76,50,Standard,43.99,2,1080p,5,expired,2021-07-11,2022-07-07,false,2021-07-11 00:00:00
77,50,Premium,59.99,4,4K,5,active,2023-07-15,,true,2023-07-15 00:00:00
78,51,Standard,43.99,2,1080p,5,cancelled,2023-10-06,2024-09-11,true,2023-10-06 00:00:00
79,51,Basic,29.99,1,720p,2,active,2020-03-12,,true,2020-03-12 00:00:00
80,52,Basic,29.99,1,720p,2,active,2025-01-31,,true,2025-01-31 00:00:00
81,53,Standard,43.99,2,1080p,5,expired,2023-12-07,2024-10-13,false,2023-12-07 00:00:00
82,53,Standard,43.99,2,1080p,5,expired,2022-10-12,2023-09-30,true,2022-10-12 00:00:00
83,53,Standard,43.99,2,1080p,5,active,2021-09-09,,true,2021-09-09 00:00:00
84,54,Standard,43.99,2,1080p,5,active,2020-08-12,,true,2020-08-12 00:00:00
85,55,Basic,29.99,1,720p,2,expired,2021-03-07,2021-05-13,false,2021-03-07 00:00:00
86,55,Basic,29.99,1,720p,2,active,2023-04-23,,true,2023-04-23 00:00:00
87,56,Basic,29.99,1,720p,2,active,2022-03-26,,true,2022-03-26 00:00:00
88,57,Premium,59.99,4,4K,5,cancelled,2021-04-01,2021-05-10,true,2021-04-01 00:00:00
89,57,Standard,43.99,2,1080p,5,expired,2022-02-16,2023-01-20,true,2022-02-16 00:00:00
90,57,Basic,29.99,1,720p,2,active,2020-07-15,,true,2020-07-15 00:00:00
91,58,Basic,29.99,1,720p,2,active,2021-05-31,,true,2021-05-31 00:00:00
92,59,Premium,59.99,4,4K,5,active,2022-02-27,,true,2022-02-27 00:00:00
93,60,Standard,43.99,2,1080p,5,cancelled,2020-08-16,2020-12-03,false,2020-08-16 00:00:00
94,60,Basic,29.99,1,720p,2,cancelled,2020-09-17,2021-05-30,false,2020-09-17 00:00:00
95,60,Standard,43.99,2,1080p,5,active,2022-03-19,,true,2022-03-19 00:00:00
96,61,Premium,59.99,4,4K,5,active,2024-05-30,,true,2024-05-30 00:00:00
97,62,Premium,59.99,4,4K,5,expired,2025-03-15,2025-12-25,false,2025-03-15 00:00:00
98,62,Standard,43.99,2,1080p,5,active,2025-04-12,,true,2025-04-12 00:00:00
99,63,Basic,29.99,1,720p,2,active,2020-03-17,,true,2020-03-17 00:00:00
100,64,Standard,43.99,2,1080p,5,active,2023-08-19,,true,2023-08-19 00:00:00
101,65,Premium,59.99,4,4K,5,active,2020-09-02,,true,2020-09-02 00:00:00
102,66,Basic,29.99,1,720p,2,active,2021-03-27,,true,2021-03-27 00:00:00
103,67,Standard,43.99,2,1080p,5,active,2022-10-12,,true,2022-10-12 00:00:00
104,68,Standard,43.99,2,1080p,5,active,2025-01-04,,true,2025-01-04 00:00:00
