watch_id,profile_id,content_id,episode_id,started_at,progress_percent,completed
1,1244,425,,2022-02-10 10:02:08,61.83,false
2,1906,60,,2021-06-19 04:05:34,56.07,false
3,1366,284,3203,2023-02-15 19:56:14,36.1,false
4,1551,78,,2022-07-31 07:42:40,86.36,false
5,1144,352,4214,2024-08-31 22:38:49,21.93,false
6,2258,423,,2025-05-05 20:06:07,77.25,false
7,951,130,1375,2023-11-28 13:46:16,85.28,false
8,1029,231,,2023-05-22 16:56:29,54.6,false
9,2140,138,1520,2024-10-30 01:58:04,83.55,false
10,462,344,4164,2021-04-12 17:26:53,63.69,false
11,2561,312,3546,2022-05-08 09:38:36,21.95,false
12,2431,383,,2023-08-06 06:33:39,2.7,false
13,2157,341,,2024-04-30 13:30:19,65.55,false
14,2148,29,,2021-09-28 01:42:04,58.2,false
15,148,178,,2021-04-01 13:02:24,73.66,false
16,1563,161,,2020-08-12 19:43:05,79.61,false
17,1362,474,5829,2025-12-30 11:03:56,77.91,false
18,1918,357,,2022-07-20 00:21:11,53.1,false
19,1666,366,4354,2023-12-26 05:31:14,92.73,false
20,981,486,,2020-02-11 11:28:03,55.32,false
21,1477,360,4290,2020-05-02 18:40:14,32.59,false
22,628,224,,2020-04-03 17:51:27,86.52,false
23,2069,143,,2022-11-21 20:43:04,8.68,false
24,1200,124,,2020-07-10 15:25:21,13.1,false
25,2111,444,,2022-10-20 01:56:18,40.55,false
26,1896,266,2970,2021-01-30 23:45:15,93.15,false
27,1065,218,,2024-05-03 21:14:46,14.99,false
28,2388,432,,2020-09-28 13:23:57,51.61,false
29,2263,390,4824,2022-03-26 16:44:39,53.71,false
30,2666,299,,2024-02-11 23:29:42,4.7,false
31,2534,427,,2022-01-06 19:09:23,94.22,false
32,2057,305,,2020-02-03 11:13:05,13.85,false
33,2343,198,,2021-12-29 10:13:44,25.51,false
34,92,374,,2025-05-13 04:02:45,22.36,false
35,614,48,,2023-03-03 15:33:44,50.97,false
36,745,291,,2022-09-06 16:10:27,38.94,false
37,1284,55,660,2023-10-31 11:54:30,52.47,false
38,1765,164,,2025-03-18 23:10:10,79.71,false
39,1212,202,2292,2023-01-28 08:42:30,16.3,false
40,1192,23,,2022-12-06 15:27:43,18.05,false
41,2650,357,,2025-10-13 22:00:49,100.0,true
42,2690,348,,2020-03-31 17:13:12,50.3,false
43,2189,234,2496,2024-12-23 10:47:51,52.36,false
44,478,233,,2021-11-22 14:12:09,1.28,false
45,2471,417,5132,2020-01-29 08:09:52,62.95,false
46,592,236,,2024-06-24 08:11:41,55.14,false
47,334,242,,2023-06-03 13:35:11,28.23,false
48,299,103,,2022-05-21 01:07:22,70.65,false
49,2315,240,2612,2021-07-02 01:05:36,84.48,false
50,1150,74,776,2025-09-12 23:32:11,4.13,false
51,1705,168,1851,2023-06-15 14:43:54,32.24,false
